<root>
  <name value="Slow Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <rate length="6H" arrival="60H" departure="10H"/>
  <rate length="6H" arrival="10H" departure="60H"/>
  <rate length="6H" arrival="10H" departure="10H"/>
  <simulation monitored="0.1" search="0.0" arrival="0.9" departure="0.9" seed="2"/>
  <estimation error="0.2" interval="900.0" seed="None" search="1.0" monitored="0.0870719029117"/>
</root>

--------------------------
22974.46 C L1 16
22974.46 C L2 0
22978.93 C L1 15
22978.93 C L2 0
22981.34 C L1 16
22981.34 C L2 0
23057.20 C L1 17
23057.20 C L2 0
23063.88 C L1 18
23063.88 C L2 0
23092.31 C L1 19
23092.31 C L2 0
23122.77 C L1 20
23122.77 C L2 0
23150.51 C L1 19
23150.51 C L2 0
23161.18 C L1 20
23161.18 C L2 0
23163.04 C L1 21
23163.04 C L2 0
23215.06 C L1 22
23215.06 C L2 0
23244.19 C L1 21
23244.19 C L2 0
23287.83 A L1
23287.83 P L1 1.0 0:0.063 20:0.094 40:0.112 60:0.125 80:0.130 100:0.127 120:0.117 140:0.098 160:0.074 180:0.060
23287.83 P L2 0.98812105452 0:0.055 20:0.082 40:0.096 60:0.100 80:0.101 100:0.101 120:0.101 140:0.101 160:0.099 180:0.164
23287.83 C L1 22
23287.83 C L2 0
23294.71 C L1 23
23294.71 C L2 0
23481.89 C L1 23
23481.89 C L2 1
23502.59 C L1 24
23502.59 C L2 1
23522.08 C L1 24
23522.08 C L2 2
23554.29 C L1 25
23554.29 C L2 2
23562.10 C L1 26
23562.10 C L2 2
23576.58 C L1 27
23576.58 C L2 2
23621.30 C L1 27
23621.30 C L2 3
23692.22 C L1 28
23692.22 C L2 3
23717.68 C L1 29
23717.68 C L2 3
23756.47 C L1 30
23756.47 C L2 3
23778.69 C L1 31
23778.69 C L2 3
23793.77 C L1 32
23793.77 C L2 3
23862.54 C L1 33
23862.54 C L2 3
23867.73 C L1 32
23867.73 C L2 3
23883.87 C L1 33
23883.87 C L2 3
23909.06 C L1 34
23909.06 C L2 3
23910.16 C L1 35
23910.16 C L2 3
23966.18 C L1 36
23966.18 C L2 3
24002.93 C L1 36
24002.93 C L2 2
24113.64 C L1 37
24113.64 C L2 2
24269.83 C L1 38
24269.83 C L2 2
24323.52 C L1 39
24323.52 C L2 2
24337.90 C L1 40
24337.90 C L2 2
24396.19 C L1 41
24396.19 C L2 2
24426.02 C L1 42
24426.02 C L2 2
24441.24 C L1 43
24441.24 C L2 2
24508.59 C L1 44
24508.59 C L2 2
24551.97 C L1 45
24551.97 C L2 2
24643.49 C L1 46
24643.49 C L2 2
24658.48 C L1 47
24658.48 C L2 2
24667.66 C L1 48
24667.66 C L2 2
24730.03 C L1 48
24730.03 C L2 3
24735.46 C L1 49
24735.46 C L2 3
24757.77 C L1 50
24757.77 C L2 3
24784.10 C L1 51
24784.10 C L2 3
24790.89 C L1 52
24790.89 C L2 3
24851.51 C L1 53
24851.51 C L2 3
24894.10 C L1 52
24894.10 C L2 3
24897.07 C L1 52
24897.07 C L2 2
25056.65 C L1 53
25056.65 C L2 2
25090.96 C L1 54
25090.96 C L2 2
25093.72 C L1 55
25093.72 C L2 2
24187.83 P* L1 0.981941986172 0:0.073 20:0.090 40:0.110 60:0.122 80:0.128 100:0.125 120:0.114 140:0.097 160:0.073 180:0.068
25087.83 P* L1 0.974569488662 0:0.082 20:0.087 40:0.108 60:0.120 80:0.125 100:0.123 120:0.112 140:0.095 160:0.073 180:0.075
24187.83 P* L2 0.981072461044 0:0.065 20:0.077 40:0.093 60:0.099 80:0.101 100:0.101 120:0.101 140:0.100 160:0.099 180:0.164
25087.83 P* L2 0.976467426569 0:0.072 20:0.074 40:0.090 60:0.097 80:0.100 100:0.101 120:0.101 140:0.100 160:0.100 180:0.163
25160.82 A L1
25160.82 P L1 1.0 0:0.058 20:0.089 40:0.109 60:0.122 80:0.127 100:0.124 120:0.114 140:0.097 160:0.076 180:0.084
25160.82 P L2 0.973177237531 0:0.078 20:0.073 40:0.088 60:0.096 80:0.099 100:0.101 120:0.101 140:0.100 160:0.101 180:0.163
25160.82 C L1 56
25160.82 C L2 2
25253.91 C L1 57
25253.91 C L2 2
25260.96 C L1 58
25260.96 C L2 2
25273.60 C L1 59
25273.60 C L2 2
25293.39 C L1 60
25293.39 C L2 2
25338.40 C L1 61
25338.40 C L2 2
25371.81 C L1 62
25371.81 C L2 2
25422.70 C L1 63
25422.70 C L2 2
25603.66 C L1 64
25603.66 C L2 2
25610.46 D L1
25610.46 P L1 1.0 0:0.050 20:0.088 40:0.111 60:0.125 80:0.131 100:0.128 120:0.118 140:0.102 160:0.081 180:0.065
25610.46 P L2 0.970678761583 0:0.083 20:0.072 40:0.086 60:0.095 80:0.099 100:0.100 120:0.101 140:0.101 160:0.101 180:0.162
25610.46 C L1 63
25610.46 C L2 2
25657.82 C L1 64
25657.82 C L2 2
25692.86 C L1 65
25692.86 C L2 2
25707.72 C L1 66
25707.72 C L2 2
25766.02 C L1 67
25766.02 C L2 2
25982.11 C L1 68
25982.11 C L2 2
25999.14 C L1 69
25999.14 C L2 2
26036.30 C L1 70
26036.30 C L2 2
26073.37 C L1 70
26073.37 C L2 3
26115.61 C L1 71
26115.61 C L2 3
26307.03 C L1 72
26307.03 C L2 3
26343.40 C L1 72
26343.40 C L2 4
26400.87 C L1 73
26400.87 C L2 4
26496.91 C L1 74
26496.91 C L2 4
26559.77 C L1 75
26559.77 C L2 4
26658.80 C L1 76
26658.80 C L2 4
26689.95 C L1 77
26689.95 C L2 4
26510.46 P* L1 0.985626632756 0:0.061 20:0.084 40:0.108 60:0.122 80:0.128 100:0.126 120:0.116 140:0.100 160:0.080 180:0.073
